"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"413",413,414,54.32165,57.21141,161.84152,NA,NA,NA,2.52e+09,5.2e+10,123.98988,134.68954,92.5361,1,"None","parabolic","box sum"
"414",414,415,55.54876,57.13172,161.53766,NA,NA,NA,2.38e+09,5.27e+10,74.52779,300.42869,239.87772,1,"None","parabolic","box sum"
"417",417,418,175.575,55.05289,161.70395,NA,NA,NA,2.25e+09,5.39e+10,138.986,205.24794,235.18395,1,"None","parabolic","box sum"
"421",421,422,39.9233,51.28692,161.75931,NA,NA,NA,2.25e+09,4.67e+10,287.61195,106.18693,93.70132,1,"None","parabolic","box sum"
"422",422,423,40.74784,51.17664,161.8458,NA,NA,NA,2.32e+09,5.23e+10,272.17337,149.55699,155.6489,1,"None","parabolic","box sum"
"424",424,425,22.71089,49.52943,161.78594,NA,NA,NA,2.39e+09,5.27e+10,113.70319,155.57432,263.8896,1,"None","parabolic","box sum"
"427",427,428,169.20539,42.89,161.80493,NA,NA,NA,2.38e+09,5.46e+10,109.98828,152.61948,177.49157,1,"None","parabolic","box sum"
"448",448,449,134.24959,63.83462,161.4855,NA,NA,NA,2.9e+09,6.73e+10,100.57185,190.56219,155.36881,1,"None","parabolic","box sum"
"450",450,451,59.17091,63.43238,161.29328,NA,NA,NA,2.33e+09,5.37e+10,148.93588,317.19309,131.15125,1,"None","parabolic","box sum"
"456",456,457,40.61292,57.79313,161.44942,NA,NA,NA,2.3e+09,5.06e+10,131.96566,147.85969,114.67018,1,"None","parabolic","box sum"
"458",458,459,133.10933,55.50997,161.40543,NA,NA,NA,2.81e+09,6.08e+10,97.36443,143.77791,113.31534,1,"None","parabolic","box sum"
"459",459,460,22.66134,53.60107,161.35652,NA,NA,NA,2.27e+09,5.14e+10,96.82579,170.60804,153.7077,1,"None","parabolic","box sum"
"460",460,461,123.56488,52.77261,161.37548,NA,NA,NA,2.49e+09,5.74e+10,188.29327,315.09066,130.16619,1,"None","parabolic","box sum"
"462",462,463,173.55968,51.99225,161.51691,NA,NA,NA,2.5e+09,5.81e+10,105.43152,222.4279,145.43111,1,"None","parabolic","box sum"
"463",463,464,40.2962,50.95247,161.34615,NA,NA,NA,2.32e+09,5.33e+10,184.28339,187.90776,115.83837,1,"None","parabolic","box sum"
"466",466,467,50.38127,46.62668,161.32926,NA,NA,NA,2.56e+09,5.57e+10,96.80625,188.96127,105.04209,1,"None","parabolic","box sum"
"474",474,475,26.51561,42.34589,161.4414,NA,NA,NA,2.3e+09,4.69e+10,91.42717,158.92553,96.32751,1,"None","parabolic","box sum"
"476",476,477,187.20832,40.37147,161.41582,NA,NA,NA,2.26e+09,4.79e+10,109.73881,167.03695,102.8154,1,"None","parabolic","box sum"
"481",481,482,59.55345,68.64808,161.08555,NA,NA,NA,2.25e+09,4.92e+10,117.76803,126.95363,137.38661,1,"None","parabolic","box sum"
"486",486,487,40.54651,64.51584,161.10106,NA,NA,NA,2.57e+09,5.8e+10,146.68361,162.20133,135.21697,1,"None","parabolic","box sum"
"488",488,489,57.14556,62.3334,160.96408,NA,NA,NA,2.44e+09,5.47e+10,117.12557,155.13539,134.93852,1,"None","parabolic","box sum"
"489",489,490,176.46014,61.47295,160.92945,NA,NA,NA,2.54e+09,6.04e+10,151.90512,156.20539,170.90944,1,"None","parabolic","box sum"
"490",490,491,69.56257,59.47196,161.10549,NA,NA,NA,2.55e+09,5.61e+10,101.15201,115.78536,139.17062,1,"None","parabolic","box sum"
"491",491,492,30.36252,52.01817,160.90936,NA,NA,NA,2.63e+09,5.67e+10,94.63703,137.27576,123.6547,1,"None","parabolic","box sum"
"492",492,493,62.22578,49.79235,160.97955,NA,NA,NA,2.31e+09,4.98e+10,167.22279,139.83256,101.80419,1,"None","parabolic","box sum"
"496",496,497,45.36418,45.83166,160.8714,NA,NA,NA,2.32e+09,5.44e+10,125.78779,152.92823,163.94388,1,"None","parabolic","box sum"
"499",499,500,177.96835,44.38167,161.17959,NA,NA,NA,2.53e+09,5.4e+10,102.88809,136.05911,113.15513,1,"None","parabolic","box sum"
"502",502,503,182.30369,43.34147,161.13254,NA,NA,NA,2.52e+09,5.55e+10,89.39903,195.81097,121.7171,1,"None","parabolic","box sum"
"504",504,505,111.10809,42.33746,161.17754,NA,NA,NA,2.73e+09,6.11e+10,116.27303,137.7126,126.27367,1,"None","parabolic","box sum"
"507",507,508,25.54778,40.79682,160.87099,NA,NA,NA,2.4e+09,4.9e+10,89.24818,185.95511,95.36798,1,"None","parabolic","box sum"
"520",520,521,34.64637,57.54501,160.6204,NA,NA,NA,2.37e+09,5.47e+10,267.83494,195.09083,118.58791,1,"None","parabolic","box sum"
"523",523,524,174.33965,52.51647,160.65268,NA,NA,NA,2.81e+09,6.18e+10,99.37426,173.55329,139.28014,1,"None","parabolic","box sum"
"540",540,541,56.77102,68.17874,160.2034,NA,NA,NA,2.36e+09,5.27e+10,104.44981,121.40767,138.22728,1,"None","parabolic","box sum"
"545",545,546,55.40194,65.82096,160.28574,NA,NA,NA,2.38e+09,5.21e+10,212.57361,135.09238,108.68464,1,"None","parabolic","box sum"
"549",549,550,54.17383,62.71034,160.48317,NA,NA,NA,2.32e+09,5.31e+10,107.96258,265.20029,117.62653,1,"None","parabolic","box sum"
"550",550,551,48.22721,60.01314,160.47724,NA,NA,NA,2.26e+09,4.96e+10,103.17955,188.0711,115.02206,1,"None","parabolic","box sum"
"551",551,552,50.52482,59.00423,160.27979,NA,NA,NA,2.51e+09,5.55e+10,195.75729,143.95398,115.81976,1,"None","parabolic","box sum"
"555",555,556,173.85244,55.34268,160.43674,NA,NA,NA,2.55e+09,5.61e+10,161.34263,158.24586,114.70282,1,"None","parabolic","box sum"
"556",556,557,103.54238,54.34056,160.25836,NA,NA,NA,2.84e+09,6.13e+10,86.14337,209.33139,121.70422,1,"None","parabolic","box sum"
"558",558,559,28.12215,53.51987,160.36616,NA,NA,NA,2.34e+09,4.83e+10,77.88177,127.56509,118.97103,1,"None","parabolic","box sum"
"559",559,560,38.94689,53.12719,160.34252,NA,NA,NA,2.34e+09,5.09e+10,144.60966,131.19876,127.19357,1,"None","parabolic","box sum"
"560",560,561,24.98015,52.92385,160.18607,NA,NA,NA,2.4e+09,5.31e+10,127.47333,144.3103,125.87908,1,"None","parabolic","box sum"
"561",561,562,172.14285,52.15943,160.40654,NA,NA,NA,2.28e+09,4.83e+10,112.23017,124.94278,130.45825,1,"None","parabolic","box sum"
"562",562,563,24.72288,48.79935,160.25377,NA,NA,NA,2.37e+09,5.45e+10,174.46817,180.14014,117.07302,1,"None","parabolic","box sum"
"566",566,567,169.46132,44.59553,160.19017,NA,NA,NA,2.49e+09,5.36e+10,103.98934,154.44905,106.87958,1,"None","parabolic","box sum"
"567",567,568,180.43247,43.30163,160.26108,NA,NA,NA,2.44e+09,5.32e+10,81.01514,175.97908,148.92914,1,"None","parabolic","box sum"
"580",580,581,63.07177,65.01577,159.91517,NA,NA,NA,2.35e+09,5.21e+10,110.75227,135.52995,131.31903,1,"None","parabolic","box sum"
"583",583,584,30.69642,62.0576,159.89913,NA,NA,NA,2.34e+09,5.25e+10,132.18307,180.7445,102.32873,1,"None","parabolic","box sum"
"585",585,586,52.0149,59.99212,160.01747,NA,NA,NA,2.82e+09,6.53e+10,116.9448,148.46843,177.66055,1,"None","parabolic","box sum"
"586",586,587,50.34268,59.15812,159.9702,NA,NA,NA,2.56e+09,5.69e+10,171.60764,126.29962,106.73475,1,"None","parabolic","box sum"
"588",588,589,131.07488,56.25248,159.9452,NA,NA,NA,2.44e+09,5.41e+10,124.37462,373.78129,108.88992,1,"None","parabolic","box sum"
